geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy,policy_type
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/02/20 - 03/08/20,4061,63780,0,NON
51,9,-78.66634949,37.5108731,-72.73825768,41.57516415,03/02/20 - 03/08/20,1508,23683,0,NON
51,10,-78.66634949,37.5108731,-75.45249263,38.99497529,03/02/20 - 03/08/20,2742,43064,0,NON
51,11,-78.66634949,37.5108731,-77.0162909,38.90477389,03/02/20 - 03/08/20,56417,886059,0,NON
51,12,-78.66634949,37.5108731,-82.46641839,28.47705841,03/02/20 - 03/08/20,36797,577916,0,NON
51,13,-78.66634949,37.5108731,-83.42714021,32.63861711,03/02/20 - 03/08/20,11633,182702,0,NON
51,15,-78.66634949,37.5108731,-158.1099738,20.9951112,03/02/20 - 03/08/20,1621,25458,0,NON
51,16,-78.66634949,37.5108731,-114.659414,44.38905509,03/02/20 - 03/08/20,196,3078,0,NON
51,17,-78.66634949,37.5108731,-89.14863899,40.12420083,03/02/20 - 03/08/20,4058,63733,0,NON
51,18,-78.66634949,37.5108731,-86.28183839,39.91986962,03/02/20 - 03/08/20,1809,28411,0,NON
51,19,-78.66634949,37.5108731,-93.50009012,42.07464833,03/02/20 - 03/08/20,460,7224,0,NON
51,20,-78.66634949,37.5108731,-98.3801554,38.48472707,03/02/20 - 03/08/20,488,7664,0,NON
51,21,-78.66634949,37.5108731,-85.29055223,37.52661417,03/02/20 - 03/08/20,4040,63450,0,NON
51,22,-78.66634949,37.5108731,-91.81423318,30.9090729,03/02/20 - 03/08/20,2929,46001,0,NON
51,23,-78.66634949,37.5108731,-69.20275986,45.27432853,03/02/20 - 03/08/20,281,4413,0,NON
51,24,-78.66634949,37.5108731,-76.68717734,38.94649396,03/02/20 - 03/08/20,52747,828419,0,NON
51,25,-78.66634949,37.5108731,-71.50397204,42.16009327,03/02/20 - 03/08/20,3095,48608,0,NON
51,26,-78.66634949,37.5108731,-85.73095291,44.8747736,03/02/20 - 03/08/20,1600,25128,0,NON
51,27,-78.66634949,37.5108731,-94.1983056,46.34911038,03/02/20 - 03/08/20,883,13867,0,NON
51,28,-78.66634949,37.5108731,-89.65335941,32.71289227,03/02/20 - 03/08/20,910,14292,0,NON
51,29,-78.66634949,37.5108731,-92.4774252,38.36763044,03/02/20 - 03/08/20,1561,24516,0,NON
51,30,-78.66634949,37.5108731,-109.645207,47.03342111,03/02/20 - 03/08/20,284,4460,0,NON
51,31,-78.66634949,37.5108731,-99.81085586,41.52715113,03/02/20 - 03/08/20,263,4130,0,NON
51,32,-78.66634949,37.5108731,-116.6552487,39.35618587,03/02/20 - 03/08/20,4178,65617,0,NON
51,33,-78.66634949,37.5108731,-71.57124317,43.68023706,03/02/20 - 03/08/20,345,5418,0,NON
51,34,-78.66634949,37.5108731,-74.65561231,40.11017985,03/02/20 - 03/08/20,6356,99824,0,NON
51,35,-78.66634949,37.5108731,-106.1084439,34.42130099,03/02/20 - 03/08/20,613,9627,0,NON
51,36,-78.66634949,37.5108731,-75.59654322,42.92123355,03/02/20 - 03/08/20,11958,187806,0,NON
51,37,-78.66634949,37.5108731,-79.13090892,35.52603039,03/02/20 - 03/08/20,51306,805788,0,NON
51,38,-78.66634949,37.5108731,-100.4693908,47.44631042,03/02/20 - 03/08/20,121,1900,0,NON
51,39,-78.66634949,37.5108731,-82.70937701,40.41548691,03/02/20 - 03/08/20,5057,79422,0,NON
51,40,-78.66634949,37.5108731,-97.50822793,35.58346465,03/02/20 - 03/08/20,790,12407,0,NON
51,41,-78.66634949,37.5108731,-120.6052563,43.94045139,03/02/20 - 03/08/20,515,8088,0,NON
51,42,-78.66634949,37.5108731,-77.83893801,40.89670051,03/02/20 - 03/08/20,14704,230934,0,NON
51,44,-78.66634949,37.5108731,-71.52472356,41.5946389,03/02/20 - 03/08/20,322,5057,0,NON
51,45,-78.66634949,37.5108731,-80.86459716,33.87785607,03/02/20 - 03/08/20,13327,209307,0,NON
51,46,-78.66634949,37.5108731,-100.2033536,44.44664208,03/02/20 - 03/08/20,65,1020,0,NON
51,47,-78.66634949,37.5108731,-86.34341233,35.84298014,03/02/20 - 03/08/20,30812,483918,0,NON
51,48,-78.66634949,37.5108731,-99.31712097,31.44721219,03/02/20 - 03/08/20,8004,125707,0,NON
51,49,-78.66634949,37.5108731,-111.67825,39.32376871,03/02/20 - 03/08/20,1517,23825,0,NON
51,50,-78.66634949,37.5108731,-72.66263037,44.07524823,03/02/20 - 03/08/20,406,6376,0,NON
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/02/20 - 03/08/20,3549885,55752842,0,NON
51,53,-78.66634949,37.5108731,-120.5928999,47.41163922,03/02/20 - 03/08/20,985,15469,0,NON
51,54,-78.66634949,37.5108731,-80.6137069,38.6425671,03/02/20 - 03/08/20,13072,205302,0,NON
51,55,-78.66634949,37.5108731,-89.73293306,44.63994411,03/02/20 - 03/08/20,796,12501,0,NON
51,56,-78.66634949,37.5108731,-107.5513942,42.99953746,03/02/20 - 03/08/20,392,6156,0,NON
51,72,-78.66634949,37.5108731,-66.41466678,18.21569834,03/02/20 - 03/08/20,511,8025,0,NON
51,1,-78.66634949,37.5108731,-86.844521,32.75687994,03/09/20 - 03/15/20,2865,48700,1,State of Emergency
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/09/20 - 03/15/20,73,1240,1,State of Emergency
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/09/20 - 03/15/20,2510,42666,1,State of Emergency
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/09/20 - 03/15/20,736,12510,1,State of Emergency
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/09/20 - 03/15/20,7174,121947,1,State of Emergency
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/09/20 - 03/15/20,3842,65308,1,State of Emergency
51,9,-78.66634949,37.5108731,-72.73825768,41.57516415,03/09/20 - 03/15/20,1105,18783,1,State of Emergency
51,10,-78.66634949,37.5108731,-75.45249263,38.99497529,03/09/20 - 03/15/20,2832,48139,1,State of Emergency
51,11,-78.66634949,37.5108731,-77.0162909,38.90477389,03/09/20 - 03/15/20,43902,746267,1,State of Emergency
51,12,-78.66634949,37.5108731,-82.46641839,28.47705841,03/09/20 - 03/15/20,37182,632037,1,State of Emergency
51,13,-78.66634949,37.5108731,-83.42714021,32.63861711,03/09/20 - 03/15/20,10917,185572,1,State of Emergency
51,15,-78.66634949,37.5108731,-158.1099738,20.9951112,03/09/20 - 03/15/20,1772,30121,1,State of Emergency
51,16,-78.66634949,37.5108731,-114.659414,44.38905509,03/09/20 - 03/15/20,207,3518,1,State of Emergency
51,17,-78.66634949,37.5108731,-89.14863899,40.12420083,03/09/20 - 03/15/20,2840,48275,1,State of Emergency
51,18,-78.66634949,37.5108731,-86.28183839,39.91986962,03/09/20 - 03/15/20,1574,26755,1,State of Emergency
51,19,-78.66634949,37.5108731,-93.50009012,42.07464833,03/09/20 - 03/15/20,326,5541,1,State of Emergency
51,20,-78.66634949,37.5108731,-98.3801554,38.48472707,03/09/20 - 03/15/20,391,6646,1,State of Emergency
51,21,-78.66634949,37.5108731,-85.29055223,37.52661417,03/09/20 - 03/15/20,3337,56723,1,State of Emergency
51,22,-78.66634949,37.5108731,-91.81423318,30.9090729,03/09/20 - 03/15/20,2528,42972,1,State of Emergency
51,23,-78.66634949,37.5108731,-69.20275986,45.27432853,03/09/20 - 03/15/20,332,5643,1,State of Emergency
51,24,-78.66634949,37.5108731,-76.68717734,38.94649396,03/09/20 - 03/15/20,41996,713868,1,State of Emergency
51,25,-78.66634949,37.5108731,-71.50397204,42.16009327,03/09/20 - 03/15/20,2001,34013,1,State of Emergency
51,26,-78.66634949,37.5108731,-85.73095291,44.8747736,03/09/20 - 03/15/20,1764,29985,1,State of Emergency
51,27,-78.66634949,37.5108731,-94.1983056,46.34911038,03/09/20 - 03/15/20,806,13700,1,State of Emergency
51,28,-78.66634949,37.5108731,-89.65335941,32.71289227,03/09/20 - 03/15/20,791,13445,1,State of Emergency
51,29,-78.66634949,37.5108731,-92.4774252,38.36763044,03/09/20 - 03/15/20,1443,24528,1,State of Emergency
51,30,-78.66634949,37.5108731,-109.645207,47.03342111,03/09/20 - 03/15/20,177,3008,1,State of Emergency
51,31,-78.66634949,37.5108731,-99.81085586,41.52715113,03/09/20 - 03/15/20,253,4300,1,State of Emergency
51,32,-78.66634949,37.5108731,-116.6552487,39.35618587,03/09/20 - 03/15/20,3571,60701,1,State of Emergency
51,33,-78.66634949,37.5108731,-71.57124317,43.68023706,03/09/20 - 03/15/20,367,6238,1,State of Emergency
51,34,-78.66634949,37.5108731,-74.65561231,40.11017985,03/09/20 - 03/15/20,5566,94613,1,State of Emergency
51,35,-78.66634949,37.5108731,-106.1084439,34.42130099,03/09/20 - 03/15/20,584,9927,1,State of Emergency
51,36,-78.66634949,37.5108731,-75.59654322,42.92123355,03/09/20 - 03/15/20,8666,147308,1,State of Emergency
51,37,-78.66634949,37.5108731,-79.13090892,35.52603039,03/09/20 - 03/15/20,44799,761514,1,State of Emergency
51,38,-78.66634949,37.5108731,-100.4693908,47.44631042,03/09/20 - 03/15/20,84,1427,1,State of Emergency
51,39,-78.66634949,37.5108731,-82.70937701,40.41548691,03/09/20 - 03/15/20,4090,69523,1,State of Emergency
51,40,-78.66634949,37.5108731,-97.50822793,35.58346465,03/09/20 - 03/15/20,823,13989,1,State of Emergency
51,41,-78.66634949,37.5108731,-120.6052563,43.94045139,03/09/20 - 03/15/20,433,7360,1,State of Emergency
51,42,-78.66634949,37.5108731,-77.83893801,40.89670051,03/09/20 - 03/15/20,11393,193663,1,State of Emergency
51,44,-78.66634949,37.5108731,-71.52472356,41.5946389,03/09/20 - 03/15/20,376,6391,1,State of Emergency
51,45,-78.66634949,37.5108731,-80.86459716,33.87785607,03/09/20 - 03/15/20,14362,244132,1,State of Emergency
51,46,-78.66634949,37.5108731,-100.2033536,44.44664208,03/09/20 - 03/15/20,64,1087,1,State of Emergency
51,47,-78.66634949,37.5108731,-86.34341233,35.84298014,03/09/20 - 03/15/20,26435,449354,1,State of Emergency
51,48,-78.66634949,37.5108731,-99.31712097,31.44721219,03/09/20 - 03/15/20,6881,116966,1,State of Emergency
51,49,-78.66634949,37.5108731,-111.67825,39.32376871,03/09/20 - 03/15/20,1436,24409,1,State of Emergency
51,50,-78.66634949,37.5108731,-72.66263037,44.07524823,03/09/20 - 03/15/20,222,3773,1,State of Emergency
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/09/20 - 03/15/20,3205128,54482298,1,State of Emergency
51,53,-78.66634949,37.5108731,-120.5928999,47.41163922,03/09/20 - 03/15/20,634,10777,1,State of Emergency
51,54,-78.66634949,37.5108731,-80.6137069,38.6425671,03/09/20 - 03/15/20,11248,191198,1,State of Emergency
51,55,-78.66634949,37.5108731,-89.73293306,44.63994411,03/09/20 - 03/15/20,617,10488,1,State of Emergency
51,56,-78.66634949,37.5108731,-107.5513942,42.99953746,03/09/20 - 03/15/20,222,3773,1,State of Emergency
51,72,-78.66634949,37.5108731,-66.41466678,18.21569834,03/09/20 - 03/15/20,562,9553,1,State of Emergency
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,03/09/20 - 03/15/20,3335,35555,1,State of Emergency
2,51,-151.2505488,63.78846948,-78.66634949,37.5108731,03/09/20 - 03/15/20,236,6496,1,State of Emergency
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,03/09/20 - 03/15/20,2171,36579,1,State of Emergency
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,03/09/20 - 03/15/20,1155,13973,1,State of Emergency
6,51,-119.6638459,37.21530826,-78.66634949,37.5108731,03/09/20 - 03/15/20,4477,94751,1,State of Emergency
8,51,-105.5478211,38.9985316,-78.66634949,37.5108731,03/09/20 - 03/15/20,1487,25396,1,State of Emergency
9,51,-72.73825768,41.57516415,-78.66634949,37.5108731,03/09/20 - 03/15/20,1826,34842,1,State of Emergency
10,51,-75.45249263,38.99497529,-78.66634949,37.5108731,03/09/20 - 03/15/20,2306,38333,1,State of Emergency
11,51,-77.0162909,38.90477389,-78.66634949,37.5108731,03/09/20 - 03/15/20,13519,274871,1,State of Emergency
12,51,-82.46641839,28.47705841,-78.66634949,37.5108731,03/09/20 - 03/15/20,16762,215965,1,State of Emergency
13,51,-83.42714021,32.63861711,-78.66634949,37.5108731,03/09/20 - 03/15/20,8905,115135,1,State of Emergency
15,51,-158.1099738,20.9951112,-78.66634949,37.5108731,03/09/20 - 03/15/20,484,9730,1,State of Emergency
16,51,-114.659414,44.38905509,-78.66634949,37.5108731,03/09/20 - 03/15/20,165,2867,1,State of Emergency
17,51,-89.14863899,40.12420083,-78.66634949,37.5108731,03/09/20 - 03/15/20,3443,51869,1,State of Emergency
18,51,-86.28183839,39.91986962,-78.66634949,37.5108731,03/09/20 - 03/15/20,2113,30373,1,State of Emergency
19,51,-93.50009012,42.07464833,-78.66634949,37.5108731,03/09/20 - 03/15/20,1122,14099,1,State of Emergency
20,51,-98.3801554,38.48472707,-78.66634949,37.5108731,03/09/20 - 03/15/20,1229,13995,1,State of Emergency
21,51,-85.29055223,37.52661417,-78.66634949,37.5108731,03/09/20 - 03/15/20,3858,57223,1,State of Emergency
22,51,-91.81423318,30.9090729,-78.66634949,37.5108731,03/09/20 - 03/15/20,1260,16748,1,State of Emergency
23,51,-69.20275986,45.27432853,-78.66634949,37.5108731,03/09/20 - 03/15/20,587,13363,1,State of Emergency
24,51,-76.68717734,38.94649396,-78.66634949,37.5108731,03/09/20 - 03/15/20,63381,1121156,1,State of Emergency
25,51,-71.50397204,42.16009327,-78.66634949,37.5108731,03/09/20 - 03/15/20,2306,45711,1,State of Emergency
26,51,-85.73095291,44.8747736,-78.66634949,37.5108731,03/09/20 - 03/15/20,2274,37107,1,State of Emergency
27,51,-94.1983056,46.34911038,-78.66634949,37.5108731,03/09/20 - 03/15/20,1185,18471,1,State of Emergency
28,51,-89.65335941,32.71289227,-78.66634949,37.5108731,03/09/20 - 03/15/20,2763,34172,1,State of Emergency
29,51,-92.4774252,38.36763044,-78.66634949,37.5108731,03/09/20 - 03/15/20,1689,22257,1,State of Emergency
30,51,-109.645207,47.03342111,-78.66634949,37.5108731,03/09/20 - 03/15/20,96,2014,1,State of Emergency
31,51,-99.81085586,41.52715113,-78.66634949,37.5108731,03/09/20 - 03/15/20,757,9639,1,State of Emergency
32,51,-116.6552487,39.35618587,-78.66634949,37.5108731,03/09/20 - 03/15/20,527,8855,1,State of Emergency
33,51,-71.57124317,43.68023706,-78.66634949,37.5108731,03/09/20 - 03/15/20,675,12066,1,State of Emergency
34,51,-74.65561231,40.11017985,-78.66634949,37.5108731,03/09/20 - 03/15/20,6437,104539,1,State of Emergency
35,51,-106.1084439,34.42130099,-78.66634949,37.5108731,03/09/20 - 03/15/20,293,5808,1,State of Emergency
36,51,-75.59654322,42.92123355,-78.66634949,37.5108731,03/09/20 - 03/15/20,8747,161125,1,State of Emergency
37,51,-79.13090892,35.52603039,-78.66634949,37.5108731,03/09/20 - 03/15/20,56000,817268,1,State of Emergency
38,51,-100.4693908,47.44631042,-78.66634949,37.5108731,03/09/20 - 03/15/20,289,4273,1,State of Emergency
39,51,-82.70937701,40.41548691,-78.66634949,37.5108731,03/09/20 - 03/15/20,6569,96275,1,State of Emergency
40,51,-97.50822793,35.58346465,-78.66634949,37.5108731,03/09/20 - 03/15/20,1218,14589,1,State of Emergency
41,51,-120.6052563,43.94045139,-78.66634949,37.5108731,03/09/20 - 03/15/20,403,7944,1,State of Emergency
42,51,-77.83893801,40.89670051,-78.66634949,37.5108731,03/09/20 - 03/15/20,16541,290793,1,State of Emergency
44,51,-71.52472356,41.5946389,-78.66634949,37.5108731,03/09/20 - 03/15/20,499,9525,1,State of Emergency
45,51,-80.86459716,33.87785607,-78.66634949,37.5108731,03/09/20 - 03/15/20,6721,88654,1,State of Emergency
46,51,-100.2033536,44.44664208,-78.66634949,37.5108731,03/09/20 - 03/15/20,191,3080,1,State of Emergency
47,51,-86.34341233,35.84298014,-78.66634949,37.5108731,03/09/20 - 03/15/20,17066,225892,1,State of Emergency
48,51,-99.31712097,31.44721219,-78.66634949,37.5108731,03/09/20 - 03/15/20,14026,180480,1,State of Emergency
49,51,-111.67825,39.32376871,-78.66634949,37.5108731,03/09/20 - 03/15/20,449,7733,1,State of Emergency
50,51,-72.66263037,44.07524823,-78.66634949,37.5108731,03/09/20 - 03/15/20,419,10400,1,State of Emergency
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/09/20 - 03/15/20,3205128,54482298,1,State of Emergency
53,51,-120.5928999,47.41163922,-78.66634949,37.5108731,03/09/20 - 03/15/20,797,15700,1,State of Emergency
54,51,-80.6137069,38.6425671,-78.66634949,37.5108731,03/09/20 - 03/15/20,26556,459571,1,State of Emergency
55,51,-89.73293306,44.63994411,-78.66634949,37.5108731,03/09/20 - 03/15/20,1440,24144,1,State of Emergency
56,51,-107.5513942,42.99953746,-78.66634949,37.5108731,03/09/20 - 03/15/20,101,1924,1,State of Emergency
72,51,-66.41466678,18.21569834,-78.66634949,37.5108731,03/09/20 - 03/15/20,252,6047,1,State of Emergency
51,1,-78.66634949,37.5108731,-86.844521,32.75687994,03/16/20 - 03/22/20,1187,24528,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/16/20 - 03/22/20,49,1012,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/16/20 - 03/22/20,1128,23309,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/16/20 - 03/22/20,572,11819,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/16/20 - 03/22/20,1986,41038,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/16/20 - 03/22/20,793,16386,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,9,-78.66634949,37.5108731,-72.73825768,41.57516415,03/16/20 - 03/22/20,524,10827,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,10,-78.66634949,37.5108731,-75.45249263,38.99497529,03/16/20 - 03/22/20,1239,25602,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,11,-78.66634949,37.5108731,-77.0162909,38.90477389,03/16/20 - 03/22/20,17828,368399,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,12,-78.66634949,37.5108731,-82.46641839,28.47705841,03/16/20 - 03/22/20,11673,241212,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,13,-78.66634949,37.5108731,-83.42714021,32.63861711,03/16/20 - 03/22/20,4570,94435,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,15,-78.66634949,37.5108731,-158.1099738,20.9951112,03/16/20 - 03/22/20,647,13369,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,16,-78.66634949,37.5108731,-114.659414,44.38905509,03/16/20 - 03/22/20,96,1983,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,17,-78.66634949,37.5108731,-89.14863899,40.12420083,03/16/20 - 03/22/20,1541,31843,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,18,-78.66634949,37.5108731,-86.28183839,39.91986962,03/16/20 - 03/22/20,1052,21738,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,19,-78.66634949,37.5108731,-93.50009012,42.07464833,03/16/20 - 03/22/20,305,6302,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,20,-78.66634949,37.5108731,-98.3801554,38.48472707,03/16/20 - 03/22/20,223,4608,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,21,-78.66634949,37.5108731,-85.29055223,37.52661417,03/16/20 - 03/22/20,2210,45667,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,22,-78.66634949,37.5108731,-91.81423318,30.9090729,03/16/20 - 03/22/20,624,12894,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,23,-78.66634949,37.5108731,-69.20275986,45.27432853,03/16/20 - 03/22/20,140,2892,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,24,-78.66634949,37.5108731,-76.68717734,38.94649396,03/16/20 - 03/22/20,20793,429668,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,25,-78.66634949,37.5108731,-71.50397204,42.16009327,03/16/20 - 03/22/20,847,17502,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,26,-78.66634949,37.5108731,-85.73095291,44.8747736,03/16/20 - 03/22/20,787,16262,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,27,-78.66634949,37.5108731,-94.1983056,46.34911038,03/16/20 - 03/22/20,403,8327,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,28,-78.66634949,37.5108731,-89.65335941,32.71289227,03/16/20 - 03/22/20,533,11013,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,29,-78.66634949,37.5108731,-92.4774252,38.36763044,03/16/20 - 03/22/20,941,19444,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
